Whichyear,feelingrightnow,ExpressFeeling,Gender,Age,Yourlocation,Relationshipstatus,Areyouhappyinancialy,succeededInEducationalinstitution,Understandingwithfamily,feelingpressureinyourstudy,satisfiedwithacademicresult,happywithlivingplace,supportsyouyouracademiclife,usedanysocialmedia,haveinferioritycomplex,satisfiedwithmeal,feelingSick/healt issues,donerecreationalactivitytoday,sleepAtNight
4th year,Very good,100,Male,23,Department,Single,Yes,4,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8
4th year,Very bad,2,Male,23,Home,Single,Yes,2,Normal,Yes,Yes,Yes,Family,Yes,Maybe,Yes,No,Yes,5
4th year,Very bad,17,Male,23,Playground,Single,Yes,2,Bad,Yes,No,No,Family,Yes,Yes,Yes,Yes,No,5
4th year,Very bad,7,Male,23,Playground,Single,No,3,Good,Yes,Yes,Yes,Family,Yes,Maybe,Neutral,Yes,Yes,6
4th year,Good,79,Male,23,Home,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Neutral,No,No,9
4th year,Very good,94,Male,23,Department,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,7
4th year,Normal,65,Male,23,Hall-Mess,Single,Yes,5,Good,Yes,No,Yes,Family,Yes,No,Yes,No,Yes,7
4th year,Very good,97,Male,23,Hall-Mess,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,9
4th year,Bad,24,Male,23,Hall-Mess,Single,Yes,3,Bad,Yes,No,No,Family,Yes,No,No,Yes,No,3
4th year,Good,84,Male,23,Hall-Mess,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10
4th year,Very good,93,Male,23,Department,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,7
4th year,Good,73,Male,23,Department,Single,Yes,5,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,9
4th year,Bad,29,Male,23,Department,Single,Yes,1,Normal,Yes,No,Yes,Family,Yes,Yes,No,Yes,No,3
4th year,Very good,92,Male,23,Department,Single,Yes,3,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,9
4th year,Normal,65,Male,23,Hall-Mess,Single,Yes,4,Normal,Yes,Yes,No,Family,Yes,Maybe,Neutral,Yes,No,6
